Date,Open,High,Low,Close,Volume
2025-12-29,78.03,78.2955,77.52,77.79,17941801
2025-12-26,79.015,79.145,77.59,78.16,53991352
2025-12-19,78.21,79.17,75.92,78.42,165608857
2025-12-12,78.21,80.815,77.715,77.8,89741525
2025-12-05,76.665,78.19,75.65,77.97,71389087
2025-11-28,76.49,77.06,75.34,76.94,68803800
2025-11-21,77.885,80.055,75.32,76.1,131315922
2025-11-14,71.76,79.5,71.095,78.0,197663867
2025-11-07,74.61,74.838,70.54,71.07,93425016
2025-10-31,70.54,73.48,70.43,73.11,96013916
2025-10-24,70.12,71.2375,69.85,70.63,70603801
2025-10-17,68.55,70.77,66.8131,70.13,76028105
2025-10-10,68.435,70.8093,67.81,67.94,114863121
2025-10-03,67.715,69.49,67.44,67.92,77209348
2025-09-26,67.86,68.235,66.85,67.22,97498878
2025-09-19,66.505,68.92,66.345,68.21,120976039
2025-09-12,66.72,68.57,66.13,66.53,76466842
2025-09-05,68.105,68.41,66.48,66.9,68378758
2025-08-29,67.28,69.5758,67.11,69.09,84118005
2025-08-22,66.08,68.04,65.75,67.32,83883635
2025-08-15,72.3,72.55,65.86,66.2,169143363
2025-08-08,67.765,72.02,67.445,71.79,109836424
2025-08-01,67.75,69.145,66.52,67.11,91517561
2025-07-25,67.902,68.8293,67.79,68.69,67367662
2025-07-18,67.83,68.84,66.98,68.05,82097189
2025-07-11,69.08,69.39,67.685,67.95,98639142
2025-07-03,68.835,69.78,68.1797,69.37,89129391
2025-06-27,66.345,69.215,66.21,68.65,125967033
2025-06-20,65.19,66.65,64.85,66.32,108888793
2025-06-13,66.115,66.36,63.865,64.09,81142977
2025-06-06,62.725,66.16,62.71,66.06,83746123
2025-05-30,63.76,63.99,62.3,63.04,71057497
2025-05-23,63.43,64.13,62.53,63.11,78126807
2025-05-16,61.61,65.745,60.845,63.62,167808269
2025-05-09,59.0,60.83,58.58,59.77,76283335
2025-05-02,56.525,59.415,56.415,59.33,91702195
2025-04-25,55.16,56.98,53.83,56.71,105048136
2025-04-17,57.89,58.21,55.42,55.76,70662999
2025-04-11,53.38,58.43,52.11,57.33,192575484
2025-04-04,60.63,62.04,54.44,54.54,148258625
2025-03-28,61.035,61.98,60.51,60.86,130493688
2025-03-21,60.4,61.575,59.425,60.3,129957345
2025-03-14,63.48,63.69,59.23,60.5,104726409
2025-03-07,64.39,64.88,62.19,63.94,105640397
2025-02-28,64.425,65.29,62.83,64.11,104247383
2025-02-21,65.3,66.25,63.88,63.98,69953914
2025-02-14,63.12,66.5,61.2,64.87,130585968
2025-02-07,60.19,63.25,59.55,62.27,91509613
2025-01-31,61.39,61.46,58.76,60.6,110763676
2025-01-24,60.47,62.315,60.28,62.23,69505388
2025-01-17,58.92,60.95,58.17,60.23,97563376
2025-01-10,58.91,59.58,58.27,58.74,67081873
2025-01-03,59.09,59.68,58.36,58.86,62124896
2024-12-27,58.13,60.055,58.12,59.61,50141916
2024-12-20,58.47,59.07,57.27,58.52,167483357
2024-12-13,59.83,59.88,58.13,58.62,89674970
2024-12-06,59.25,60.23,59.14,59.89,78340609
2024-11-29,58.65,59.87,58.26,59.21,90939562
2024-11-22,57.55,58.7,56.35,58.55,87706368
2024-11-15,59.0,59.38,57.23,57.46,132708300
2024-11-08,55.45,58.3,55.12,58.06,79357452
2024-11-01,55.9,56.105,54.53,55.5,86265632
2024-10-25,56.69,57.055,55.6656,55.74,77142936
2024-10-18,54.31,56.87,53.79,56.76,99940437
2024-10-11,52.58,54.33,52.195,54.25,55974974
2024-10-04,53.02,53.31,52.1301,52.75,68258477
2024-09-27,52.06,53.29,51.89,53.02,99487182
2024-09-20,49.88,52.33,49.78,51.97,102966825
2024-09-13,48.47,50.055,47.8501,49.8,68944856
2024-09-06,50.31,50.5,48.2,48.5,67439678
2024-08-30,50.79,51.015,49.41,50.54,68771884
2024-08-23,49.33,50.93,49.3,50.74,91928635
2024-08-16,45.53,50.28,44.5,49.46,145343341
2024-08-09,46.55,46.68,44.64,45.47,108081489
2024-08-02,47.82,48.77,46.35,46.66,94432933
2024-07-26,47.32,48.185,46.24,47.88,98325696
2024-07-19,47.41,48.74,46.785,47.32,96353566
2024-07-12,46.35,47.855,45.65,47.38,96089599
2024-07-05,47.48,47.835,46.305,46.65,60381134
2024-06-28,47.49,47.8585,46.77,47.51,91374058
2024-06-21,45.4,47.84,44.95,47.29,125198427
2024-06-14,45.8,46.08,44.97,45.68,79081640
2024-06-07,46.72,47.63,45.64,45.84,106562375
2024-05-31,46.152,46.885,45.85,46.5,93347057
2024-05-24,48.0,48.07,46.38,46.42,97932162
2024-05-17,48.31,50.11,48.105,48.17,139720578
2024-05-10,47.22,48.14,46.97,48.06,68147514
2024-05-03,47.99,48.31,46.6,47.12,81778265
2024-04-26,48.49,48.93,47.61,47.86,84675686
2024-04-19,49.72,49.79,47.7101,48.32,82997156
2024-04-12,48.19,50.2,48.16,48.49,92189859
2024-04-05,49.96,50.2,47.89,48.55,84156798
2024-03-28,49.56,50.195,49.29,49.91,65404780
2024-03-22,49.22,50.19,48.94,49.78,96687619
