Date,Open,High,Low,Close,Volume
2025-12-29,311.365,314.02,310.62,313.56,19621777
2025-12-26,309.875,315.085,305.3,313.51,72904985
2025-12-19,311.315,311.42,296.12,307.16,197128554
2025-12-12,320.05,321.31,305.56,309.29,175216416
2025-12-05,317.7,323.16,313.89,321.27,178968646
2025-11-28,311.13,328.83,309.595,320.18,251189126
2025-11-21,285.775,306.42,278.2,299.66,306190794
2025-11-14,284.42,292.005,270.7,276.41,135370635
2025-11-07,282.175,288.35,275.19,278.83,161800853
2025-10-31,264.815,291.59,264.28,281.19,222698007
2025-10-24,254.69,261.68,244.15,259.92,153248174
2025-10-17,240.21,256.96,239.71,253.3,131783078
2025-10-10,244.78,251.32,235.84,236.57,134455451
2025-10-03,247.85,251.1486,238.61,245.35,154621214
2025-09-26,254.43,255.78,240.74,246.54,136643134
2025-09-19,244.66,256.0,244.66,254.72,213412406
2025-09-12,235.47,242.25,233.229,240.8,163047714
2025-09-05,208.44,235.76,206.195,235.0,247886406
2025-08-29,206.43,214.645,205.28,212.91,153483529
2025-08-22,204.2,208.54,196.595,206.09,134323998
2025-08-15,200.935,206.44,197.5101,203.9,144761658
2025-08-08,190.29,202.61,190.12,201.42,150196235
2025-08-01,193.65,197.5999,187.82,189.13,198135406
2025-07-25,186.25,197.95,186.15,193.18,263812842
2025-07-18,181.01,186.42,179.68,185.06,165096150
2025-07-11,179.06,181.43,172.77,180.19,181179085
2025-07-03,180.78,181.23,173.53,179.53,150102058
2025-06-27,166.27,178.68,162.0,178.53,273611176
2025-06-20,174.73,177.3648,165.46,166.64,156729692
2025-06-13,174.54,181.105,172.385,174.67,170953764
2025-06-06,167.84,174.5,165.28,173.68,182774409
2025-05-30,170.16,175.265,167.44,171.74,154793381
2025-05-23,164.51,176.77,162.9,168.47,260525566
2025-05-16,157.485,169.35,156.16,166.19,211270407
2025-05-09,163.0,165.39,147.84,152.75,260300551
2025-05-02,162.425,164.97,155.4,164.03,147454052
2025-04-25,148.88,166.1,146.1,161.96,186077668
2025-04-17,159.995,161.72,148.5,151.16,119118488
2025-04-11,141.55,159.55,140.53,157.14,281058787
2025-04-04,153.11,158.4052,145.38,145.6,219461003
2025-03-28,167.065,170.63,153.63,154.33,157170436
2025-03-21,165.03,166.3,156.72,163.99,172298896
2025-03-14,168.26,168.46,161.37,165.49,175089274
2025-03-07,171.925,174.97,165.8,173.86,172801135
2025-02-28,181.99,183.12,166.77,170.28,195320465
2025-02-21,185.6,185.96,179.08,179.66,105106772
2025-02-14,187.35,188.2,181.83,185.23,108268687
2025-02-07,200.69,207.05,183.24,185.34,220768946
2025-01-31,192.41,205.48,190.68,204.02,140501714
2025-01-24,199.07,202.29,195.2,200.21,107000787
2025-01-17,190.07,197.23,187.36,196.0,106325043
2025-01-10,193.98,201.0,190.31,192.04,107580854
2025-01-03,189.8,193.21,187.5,191.79,70698565
2024-12-27,192.62,196.748,190.15,192.76,67026845
2024-12-20,192.87,201.42,185.22,191.41,218333175
2024-12-13,173.96,195.61,173.65,189.82,208057705
2024-12-06,168.765,176.06,168.57,174.71,120471562
2024-11-29,166.09,169.82,165.6072,168.95,87145738
2024-11-22,173.42,178.87,163.7,164.76,160977615
2024-11-15,178.58,182.49,171.22,172.49,129281368
2024-11-08,169.93,181.08,168.011,178.35,120789453
